ticket_id,account_id,account_segment,region,tenure_months,account_contract_value,created_at,resolved_at,priority,issue_type,channel,team,first_response_minutes,resolution_minutes,satisfaction_score,reopened,response_sla_met,resolution_sla_met,churned,churn_window_flag,churn_90d
TCK-15684,ACCT-0712,ENTERPRISE,North America,29,5290,19-Jul-2025 08:48,07/19/2025 11:06,high,product_bug,webform,core_support,99.7,138.5,3.0,False,True,True,False,False,False
TCK-15427,ACCT-1150,,North America,26,30492,10/08/2025 13:33,08-Oct-2025 13:51,medium,onboarding,phone,billing,9.7,18.6,4.0,False,True,True,False,False,False
TCK-12050,ACCT-0906,midmarket,North America,7,18293,02/23/2025 18:08,02/24/2025 03:39,medium,onboarding,chat,core_support,39.4,571.3,3.0,False,True,True,False,False,False
TCK-17782,ACCT-0372,smb,North America,39,4891,2025/02/10 16:51:00,02/10/2025 18:26,Medium,usability,chat,core_support,66.2,95.8,4.0,False,True,True,False,False,False
TCK-17246,ACCT-0849,smb,North America,33,4190,02-Jan-2025 10:36,01/03/2025 12:51,medium,billing,chat,billing,7.0,1575.9,4.0,False,True,False,True,False,False
TCK-17393,ACCT-0944,midmarket,APAC,15,36253,04/26/2025 13:52,04/26/2025 21:01,medium,integration,chat,billing,63.4,429.9,2.0,True,True,True,False,False,False
TCK-17851,ACCT-1124,midmarket,EMEA,15,10370,2025/02/14 11:40:00,2025/02/14 22:29:36,medium,billing,chat,core_support,130.3,649.6,3.0,False,True,True,True,True,True
TCK-19900,ACCT-0482,midmarket,North America,17,43713,2025/08/25 14:51:00,26-Aug-2025 07:52,medium,feature_request,chat,integrations,87.5,1021.1,3.0,False,True,False,False,False,False
TCK-18957,ACCT-0986,smb,EMEA,24,5781,28-Jun-2025 09:03,06/28/2025 22:39,low,usability,email,billing,101.9,816.1,3.0,True,True,True,False,False,False
TCK-19324,ACCT-0653,smb,North America,32,5504,2025/03/01 18:27:00,03/02/2025 13:21,urgent,product_bug,chat,core_support,9.5,1135.0,3.0,False,True,False,False,False,False
TCK-12030,ACCT-0165,smb,North America,9,5887,06/17/2025 19:20,06/18/2025 00:06,medium,integration,email,core_support,303.0,286.4,4.0,False,False,True,True,True,True
TCK-20145,ACCT-1188,smb,North America,5,5103,10/06/2025 14:42,06-Oct-2025 17:03,high,usability,webform,integrations,100.3,141.6,2.0,False,True,True,False,False,False
TCK-18138,ACCT-0446,enterprise,EMEA,24,93240,31-Jul-2025 10:32,07/31/2025 15:48,high,onboarding,email,integrations,50.4,316.8,3.0,False,True,True,False,False,False
TCK-15262,ACCT-1420,enterprise,North America,16,131933,07/18/2025 10:58,18-Jul-2025 22:22,medium,integration,webform,premium_support,106.7,684.8,,False,True,True,False,False,False
